Feature,Importance
num__campaign,24.643073012513586
num__day,12.66857992584484
ord__education,9.261438111687655
num__age,8.819836267778395
cat__marital_married,4.902553267610362
cat__job_technician,3.4813666386823656
cat__job_blue-collar,2.7430898507569736
cat__job_management,2.681134686019298
cat__month_may,2.4621230591962697
cat__month_jul,2.397488399154725
cat__marital_single,2.2596907961892616
cat__month_aug,2.2259419802604827
cat__job_admin.,1.9431503302402138
cat__month_apr,1.6224486212190985
cat__contact_cellular,1.570510580402224
cat__month_nov,1.549728648774162
cat__job_services,1.5120370807658912
num__total_loans,1.3785936161351942
cat__poutcome_success,1.1840383449987704
cat__month_jun,1.0776234055952423
cat__marital_divorced,0.9571196298154773
cat__month_feb,0.9122053290211687
cat__job_self-employed,0.7495410883119736
num__pdays,0.5645326393736432
cat__loan_yes,0.5111489945703991
cat__loan_no,0.5093483372925487
cat__housing_no,0.5083230039937817
cat__month_oct,0.5032318307254898
cat__contact_unknown,0.48413601924020727
cat__job_housemaid,0.4097952054658823
cat__job_entrepreneur,0.3984795456405402
cat__job_unemployed,0.38016950039830205
cat__contact_telephone,0.3230607196805612
cat__month_mar,0.2992482567998243
num__age_balance,0.29835860944567094
num__contacted_before,0.26766357477169417
num__balance,0.24993067161243393
num__previous,0.24033430080695697
cat__poutcome_unknown,0.22561156626629986
cat__job_retired,0.16047560060920105
cat__month_sep,0.15897895928960346
cat__month_jan,0.15578593102705945
cat__poutcome_failure,0.10748429847586842
cat__month_dec,0.06448959359808423
cat__housing_yes,0.050339931295907844
cat__default_yes,0.04545769297224229
cat__default_no,0.030376815835629404
cat__job_student,0.027009254540353442
cat__poutcome_other,0.01610452394309148
cat__job_unknown,0.006811951355137701
